x_left,y_right,distance(last_toe_to_current_heel),last_x_left,last_x_right,y_bottom,last_y_bottom,frame,last_frame
827,872,88,960,960,359,0,51,0
827,872,45,827,872,359,359,52,51
827,854,27,827,872,359,359,53,52
355,383,444,827,854,366,359,63,53
359,386,31,355,383,366,366,64,63
79,125,234,359,386,362,366,69,64
79,123,44,79,125,363,362,70,69
79,110,31,79,123,363,363,71,70
