x_left,y_right,distance(last_toe_to_current_heel),last_x_left,last_x_right,y_bottom,last_y_bottom,frame,last_frame
782,829,131,960,960,383,0,84,0
782,834,52,782,829,384,383,85,84
782,831,49,782,834,384,384,86,85
322,352,430,782,831,388,384,97,86
323,350,28,322,352,388,388,98,97
6,36,287,323,350,389,388,102,98
4,58,52,6,36,392,389,103,102
4,57,53,4,58,392,392,104,103
4,43,39,4,57,392,392,105,104
